Wavelength,Weight
1088.0,0.5250136
1089.0,0.52695036
1090.0,0.5210241
1091.0,0.5268943
1092.0,0.520245
1093.0,0.5222437
1094.0,0.52909106
1095.0,0.51911145
1096.0,0.5417566
1097.0,0.52580404
1098.0,0.5318643
1099.0,0.52334064
1100.0,0.520398
1101.0,0.52997684
1102.0,0.52346957
1103.0,0.5205231
1104.0,0.5278952
1105.0,0.5288471
1106.0,0.522356
1107.0,0.52896273
1108.0,0.52580345
1109.0,0.5019814
1110.0,0.5097854
1111.0,0.5144867
1112.0,0.5193033
1113.0,0.48433065
1114.0,0.5237673
1115.0,0.54073423
1116.0,0.51324147
1117.0,0.58287984
1118.0,0.5873801
1119.0,0.56408525
1120.0,0.6641992
1121.0,0.55557334
1122.0,0.55893713
1123.0,0.513326
1124.0,0.5794288
1125.0,0.56681556
1126.0,0.568681
1127.0,0.5938103
1128.0,0.5777514
1129.0,0.6043554
1130.0,0.6034006
1131.0,0.65523076
1132.0,0.67797303
1133.0,0.6550306
1134.0,0.6578466
1135.0,0.6396836
1136.0,0.71427274
1137.0,0.63941616
1138.0,0.6272818
1139.0,0.67380875
1140.0,0.5988299
1141.0,0.7729703
1142.0,0.672859
1143.0,0.6766405
1144.0,0.67111844
1145.0,0.69142807
1146.0,0.6957378
1147.0,0.7556867
1148.0,0.83401567
1149.0,0.8215354
1150.0,0.85493296
1151.0,0.807668
1152.0,0.7425808
1153.0,0.8914232
1154.0,0.8733524
1155.0,0.86203474
1156.0,0.8460745
1157.0,0.99929476
1158.0,0.92484456
1159.0,0.8790363
1160.0,0.9330775
1161.0,0.981359
1162.0,0.93995035
1163.0,0.89002556
1164.0,0.980636
1165.0,0.9943455
1166.0,1.0163075
1167.0,0.9311172
1168.0,0.98369795
1169.0,0.8668253
1170.0,0.9594167
1171.0,0.90926504
1172.0,0.96378666
1173.0,0.94312274
1174.0,0.947601
1175.0,0.93681145
1176.0,0.94989455
1177.0,1.0090634
1178.0,0.89640766
1179.0,0.9605024
1180.0,0.9047229
1181.0,1.0038054
1182.0,0.9676473
1183.0,0.8976608
1184.0,0.90398717
1185.0,0.913446
1186.0,0.91412586
1187.0,0.91604185
1188.0,0.9754212
1189.0,0.8590466
1190.0,0.99595547
1191.0,0.94775903
1192.0,1.01294
1193.0,0.8774686
1194.0,0.9649562
1195.0,1.002134
1196.0,0.95427257
1197.0,0.991031
1198.0,0.7752902
1199.0,0.78960466
1200.0,0.69123715
1201.0,0.7299262
1202.0,0.5644031
1203.0,0.64939874
1204.0,0.5447198
1205.0,0.6712973
1206.0,0.56595975
1207.0,0.66325307
1208.0,0.66372174
1209.0,0.7341001
1210.0,0.7508596
1211.0,0.86327237
1212.0,0.73477876
1213.0,0.78972566
1214.0,1.0716542
1215.0,1.0350084
1216.0,1.0130132
1217.0,1.1313996
1218.0,1.0113914
1219.0,0.87232524
1220.0,1.2001017
1221.0,0.9769221
1222.0,1.0507576
1223.0,0.95003265
1224.0,0.89254916
1225.0,0.8590965
1226.0,0.8343949
1227.0,0.7325529
1228.0,0.7375165
1229.0,0.8677746
1230.0,0.7603455
1231.0,0.6910772
1232.0,0.76775014
1233.0,0.6207541
1234.0,0.5632963
1235.0,0.55921006
1236.0,0.51747346
1237.0,0.53165627
1238.0,0.5337291
1239.0,0.51244664
1240.0,0.49393392
1241.0,0.5017533
1242.0,0.528096
1243.0,0.5295381
1244.0,0.5209365
1245.0,0.5162862
1246.0,0.51033765
1247.0,0.5029213
1248.0,0.53122026
1249.0,0.5373349
1250.0,0.5129988
1251.0,0.51771826
1252.0,0.54760027
1253.0,0.52672684
1254.0,0.52181625
1255.0,0.532384
1256.0,0.52313066
1257.0,0.527543
1258.0,0.52718276
1259.0,0.5406928
1260.0,0.5420543
